model_name	molpdf	DOPE	norm_DOPE	GA341
pg-dsg1-pg-dsg1.B99990001.pdb	5914.794921875	-154514.765625	-1.404154447233453	1.0	
pg-dsg1-pg-dsg1.B99990002.pdb	6473.95068359375	-154015.015625	-1.3749522529347031	1.0	
pg-dsg1-pg-dsg1.B99990003.pdb	6286.07568359375	-154158.53125	-1.3833383883347163	1.0	
pg-dsg1-pg-dsg1.B99990004.pdb	6298.71484375	-154316.71875	-1.3925818542889603	1.0	
pg-dsg1-pg-dsg1.B99990005.pdb	6107.814453125	-154174.125	-1.3842495873689256	1.0	
pg-dsg1-pg-dsg1.B99990006.pdb	6015.79736328125	-154155.953125	-1.3831877391957939	1.0	
pg-dsg1-pg-dsg1.B99990007.pdb	6041.20751953125	-154689.25	-1.4143501983507036	1.0	
pg-dsg1-pg-dsg1.B99990008.pdb	6023.88916015625	-154216.171875	-1.386706537870987	1.0	
pg-dsg1-pg-dsg1.B99990009.pdb	6078.3291015625	-154431.796875	-1.3993062840354054	1.0	
pg-dsg1-pg-dsg1.B99990010.pdb	6118.93798828125	-154678.015625	-1.413693733315036	1.0	
