model_name	molpdf	DOPE	norm_DOPE	GA341
pkp1.B99990001.pdb	3523.241943359375	-49715.8125	-0.968626533539981	1.0	
pkp1.B99990002.pdb	3899.34326171875	-49539.59375	-0.9413178214070286	1.0	
pkp1.B99990003.pdb	5009.49462890625	-48542.33984375	-0.786772860389864	1.0	
pkp1.B99990004.pdb	3326.525634765625	-49510.93359375	-0.9368763419576699	1.0	
pkp1.B99990005.pdb	4339.35693359375	-49036.41015625	-0.863339195910348	1.0	
pkp1.B99990006.pdb	3323.793212890625	-48994.609375	-0.8568613069110858	1.0	
pkp1.B99990007.pdb	4647.63330078125	-49162.875	-0.8829375190905292	1.0	
pkp1.B99990008.pdb	2982.916015625	-50390.96875	-1.073255851793649	1.0	
pkp1.B99990009.pdb	4183.01416015625	-49301.73046875	-0.9044560239271593	1.0	
pkp1.B99990010.pdb	5234.56494140625	-48782.640625	-0.8240123985234611	1.0	
