model_name	molpdf	DOPE	DOPEHR	norm_DOPE	GA341
pkp2.B99990001.pdb	3906.986328125	-50139.75	-33526.63671875	-0.21410920745815903	5.713240146636963	
pkp2.B99990002.pdb	3370.232177734375	-51151.46484375	-35226.62890625	-0.35627427273621787	1.0	
pkp2.B99990003.pdb	4206.82470703125	-50684.33984375	-34837.88671875	-0.29063437773194606	1.0	
pkp2.B99990004.pdb	3556.095458984375	-51886.34765625	-37070.92578125	-0.459539203221514	1.0	
pkp2.B99990005.pdb	3807.089599609375	-51209.49609375	-35154.59765625	-0.36442876062910873	1.0	
pkp2.BL00010001.pdb	66003.734375	1377.855712890625	16805.783203125	0.48009042670086344	125.4133529663086	
pkp2.BL00020001.pdb	77233.5390625	700.7576293945312	15544.0537109375	0.38494595218537264	232.94444274902344	
pkp2.BL00030001.pdb	55797.43359375	898.6951904296875	16988.46875	0.4127719894256937	274.97747802734375	
pkp2.BL00010002.pdb	79867.6484375	1638.097412109375	17427.890625	0.3849432076754464	140.8016815185547	
pkp2.BL00020002.pdb	41781.6171875	-698.6336059570312	10334.2275390625	0.056592235706158185	16.465972900390625	
pkp2.BL00030002.pdb	41380.828125	-919.2911987304688	10595.2060546875	0.025565002087852503	114.42970275878906	
pkp2.BL00010003.pdb	50021.7734375	934.43798828125	14978.9931640625	0.33170959534182076	87.85917663574219	
pkp2.BL00020003.pdb	23392.19140625	-3243.204345703125	3005.723876953125	-0.2552367865070708	7.108121871948242	
pkp2.BL00030003.pdb	84542.3203125	2651.2529296875	20298.33984375	0.5729640937033703	389.6483459472656	
pkp2.BL00010004.pdb	98683.6328125	4849.44189453125	27596.0546875	0.8056024776024328	451.5859069824219	
pkp2.BL00020004.pdb	30144.83984375	-1281.5286865234375	6439.2919921875	-0.05603970715744855	46.459861755371094	
pkp2.BL00030004.pdb	89064.171875	1807.6470947265625	18762.888671875	0.3780852262717187	198.59478759765625	
pkp2.BL00010005.pdb	59535.07421875	-529.752685546875	10820.8623046875	0.09468274007067548	1.924430012702942	
pkp2.BL00020005.pdb	18508.181640625	-3210.875244140625	2576.6787109375	-0.28200673632776874	1.0	
pkp2.BL00030005.pdb	41027.5625	-188.09732055664062	10102.30859375	0.14268696319081353	13.915104866027832	
