model_name	molpdf	DOPE	DOPEHR	norm_DOPE	GA341
pkp2a.B99990001.pdb	2795.264892578125	-49628.08984375	-39483.8125	-0.6314958044886844	1.0	
pkp2a.B99990002.pdb	3874.63525390625	-49846.625	-37652.26171875	-0.6649957916503659	1.0	
pkp2a.B99990003.pdb	3048.5537109375	-50001.34765625	-37202.75390625	-0.6887137466327066	1.0	
pkp2a.B99990004.pdb	2926.7734375	-50752.70703125	-39683.59765625	-0.8038921456062542	1.2933379411697388	
pkp2a.B99990005.pdb	3074.658935546875	-50274.00390625	-39426.53515625	-0.7305101378005566	1.0	
pkp2a.BL00010001.pdb	-1682.7344970703125	-3652.289794921875	-3640.064697265625	-0.888420855726988	1.0	
pkp2a.BL00020001.pdb	12422.826171875	-1182.126708984375	1565.64111328125	-0.5097958511281874	1.0	
pkp2a.BL00030001.pdb	33962.4375	900.0025634765625	7485.38525390625	-0.19054327886570013	1.0	
pkp2a.BL00010002.pdb	22408.4765625	-440.7021789550781	3929.89453125	-0.5195335719472645	1.0	
pkp2a.BL00020002.pdb	2996.059326171875	-1651.5753173828125	-69.07085418701172	-0.7050879918545526	1.0	
pkp2a.BL00030002.pdb	4236.111328125	-1692.2545166015625	355.5964050292969	-0.7113299056301067	1.0	
pkp2a.BL00010003.pdb	821.2952880859375	-1615.726318359375	-564.8652954101562	-0.6206904194081133	1.0	
pkp2a.BL00020003.pdb	9784.45703125	-656.7944946289062	1990.2978515625	-0.47363478714200835	1.0	
pkp2a.BL00030003.pdb	15566.931640625	-937.459228515625	2085.854248046875	-0.5167174053618433	1.0	
pkp2a.BL00010004.pdb	28405.130859375	402.49871826171875	6301.30859375	-0.46101682790577714	3.9416120052337646	
pkp2a.BL00020004.pdb	455.55712890625	-2004.0264892578125	-1388.9222412109375	-0.8299538122652562	1.0	
pkp2a.BL00030004.pdb	14504.8857421875	-458.89642333984375	4130.041015625	-0.5930796515463717	1.0	
pkp2a.BL00010005.pdb	6423.7255859375	-1813.849365234375	-36.52357864379883	-0.7011784125145112	1.0	
pkp2a.BL00020005.pdb	16089.361328125	-2002.034912109375	970.7230224609375	-0.7300766050325692	1.0	
pkp2a.BL00030005.pdb	43659.578125	332.44476318359375	6132.35498046875	-0.37221087391524454	1.0	
